[Wed Nov 06 05:46:26.983971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:7042] PHP Warning:  require(PHPMailer.php): failed to open stream: No such file or directory in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 47, referer: http://127.0.0.1:7000/form_response.php?form_title=Content%20Endorsement
[Wed Nov 06 05:46:26.983971 2019] [php7:error] [pid 7692:tid 1736] [client 127.0.0.1:7042] PHP Fatal error:  require(): Failed opening required 'PHPMailer.php' (include_path='C:\\web\\xampp\\htdocs\\form\\models;C:\\web\\xampp\\htdocs\\form\\controllers;C:\\web\\xampp\\php\\PEAR') in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 47, referer: http://127.0.0.1:7000/form_response.php?form_title=Content%20Endorsement
[Wed Nov 06 06:36:51.346971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:7571] PHP Notice:  Undefined property: Login::$login in C:\\web\\xampp\\htdocs\\form\\controllers\\SurveyFormController.php on line 188, referer: http://127.0.0.1:7000/form_response.php?form_title=Content%20Endorsement
[Wed Nov 06 06:56:51.755971 2019] [php7:notice] [pid 7692:tid 1680] [client 127.0.0.1:7827] PHP Notice:  Trying to get property 'email' of non-object in C:\\web\\xampp\\htdocs\\form\\controllers\\SurveyFormController.php on line 179, referer: http://127.0.0.1:7000/form_response.php?form_title=Author%20Relations%20-%20Coaching%20form
[Wed Nov 06 06:56:51.756971 2019] [php7:notice] [pid 7692:tid 1680] [client 127.0.0.1:7827] PHP Notice:  Trying to get property 'first_name' of non-object in C:\\web\\xampp\\htdocs\\form\\controllers\\SurveyFormController.php on line 179, referer: http://127.0.0.1:7000/form_response.php?form_title=Author%20Relations%20-%20Coaching%20form
[Wed Nov 06 06:56:51.756971 2019] [php7:notice] [pid 7692:tid 1680] [client 127.0.0.1:7827] PHP Notice:  Trying to get property 'first_name' of non-object in C:\\web\\xampp\\htdocs\\form\\controllers\\SurveyFormController.php on line 182, referer: http://127.0.0.1:7000/form_response.php?form_title=Author%20Relations%20-%20Coaching%20form
[Wed Nov 06 06:56:51.756971 2019] [php7:notice] [pid 7692:tid 1680] [client 127.0.0.1:7827] PHP Notice:  Trying to get property 'login_id' of non-object in C:\\web\\xampp\\htdocs\\form\\controllers\\SurveyFormController.php on line 184, referer: http://127.0.0.1:7000/form_response.php?form_title=Author%20Relations%20-%20Coaching%20form
[Wed Nov 06 07:17:12.629971 2019] [php7:warn] [pid 7692:tid 1680] [client 127.0.0.1:7992] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\\web\\xampp\\htdocs\\form\\controllers\\SurveyFormController.php on line 154, referer: http://127.0.0.1:7000/form_response.php?form_title=ORM%20Defcon%20Sweep
[Wed Nov 06 07:27:12.490971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Warning:  include(stylesheets.php): failed to open stream: No such file or directory in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 6
[Wed Nov 06 07:27:12.490971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Warning:  include(): Failed opening 'stylesheets.php' for inclusion (include_path='C:\\web\\xampp\\php\\PEAR') in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 6
[Wed Nov 06 07:27:12.495971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Warning:  include(scripts.php): failed to open stream: No such file or directory in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 7
